click,impression,displayURL,AdId,AdvertiserId,Depth,Position,QueryId,KeywordId,TitleId,DescriptionId,UserId,Gender,Age,QueryTokens,DescriptionTokens,KeywordTokens,TitleTokens
0,1,4298118681424644510,7686695,385,3,3,1601,5521,7709,576,490234,1,3,4133,8|81|123|205|2|95|26|95|60|32|1|17|146|1|991|381|3|1718|2548|2110|3,4133|95|17,4133|95|17|0|4732|95|146|4079
0,1,4860571499428580850,21560664,37484,2,2,2255103,317,48989,44771,490234,1,3,300|202,1925|6302|350|1591|300|17|1371|4493|3123|17458|8653|16799|2344|1235|3958|8918|17394|2293|8279|8020|300|13826,300|17,300|17|15|29|24|4849|1925|6302|350|1591
0,1,9704320783495875564,21748480,36759,3,3,4532751,60721,685038,29681,490234,1,3,300|16565|346,311|300|227|40|306|532|6863|1|300|1896|1062|26|3098|1115|33|1371|1|8736|346|164|3730|1198|5807|58,300|16565,300|16565|15|300|227|40
0,1,13677630321509009335,3517124,23778,3,1,1601,2155,1207,1422,490234,1,3,4133,3683|4990|2793|11589|21|10741|26|16044|26|316810|1|933|420|26|1395|3927|65|832|93|114,4133,145|65|3927|832|93
0,1,3284760244799604489,20758093,34535,1,1,4532751,77819,266618,222223,490234,1,3,300|16565|346,677|300|16565|54|350|617|300|438|677|300|16565|1|54|350|617|3013|21|283|4158|1591|1340|1913|13285|5751,677|300|16565,677|300|16565|1|677|300|1896|163|3
0,1,10196385171799537224,21375650,36832,2,1,4688625,202465,457316,429545,490234,1,3,196|14760|72,149|196|72|990|661|3819|1|3482|6538|1|947|821|193|3261|3|81|991|374|264,149|196|72,90|23|1251|264|149|196|72
0,1,4203081172173603803,4427028,28647,3,1,4532751,720719,3402221,2663964,490234,1,3,300|16565|346,300|16565|346|1|283|4158|1340|1913|6223|5751|768|641|1|3537|694|1896|1|620|3123|1|176|2344|3537|3455|130|702|3,300|16565|346,300|16565|346|1|3050|3013|1|300|16565|94
0,1,4203081172173603803,4428493,28647,2,2,13171922,1493,11658,5668,490234,1,3,5580|346|300,300|163|94|1|283|4158|1340|1913|6223|5751|768|641|1|3537|694|1896|1|620|3123|1|176|2344|3537|3455|130|702|1|1951|1845|300|1012|3818|3,53|300|227|6,53|300|227|6|0|3050|3013|0|300|227|163|54
0,1,585474943700910275,20945590,35083,2,1,35143,28111,151695,128782,490234,1,3,9589,273|323|15208|1|4034|102883|2|8279|1|15874|29|9589|1012|3818|1|1150|3372,9589,9352|15874|1362|1725|9589|94
0,1,9684554778607002606,21406020,36943,2,2,4688625,202465,1172072,973354,490234,1,3,196|14760|72,5028|3718|3093|1|742|81|168|345|0|149|196|72|3300|1|3615|3804|459|2994|5183|2531|3,149|196|72,493|3|42|1394|149|196|72|1|179|536|3
